t	GranuleCell[0]	GranuleCell[10]	GranuleCell[20]	GranuleCell[30]	GranuleCell[40]	GranuleCell[50]	GranuleCell[60]	GranuleCell[70]	GranuleCell[80]	GranuleCell[90]	GranuleCell[100]	GranuleCell[110]	GranuleCell[120]	GranuleCell[130]	GranuleCell[140]	GranuleCell[150]	GranuleCell[160]	GranuleCell[170]	GranuleCell[180]	GranuleCell[190]	GranuleCell[200]	GranuleCell[210]	GranuleCell[220]	GranuleCell[230]	GranuleCell[240]	GranuleCell[250]	GranuleCell[260]	GranuleCell[270]	GranuleCell[280]	GranuleCell[290]	GranuleCell[300]	GranuleCell[310]	GranuleCell[320]	GranuleCell[330]	GranuleCell[340]	GranuleCell[350]	GranuleCell[360]	GranuleCell[370]	GranuleCell[380]	GranuleCell[390]	GranuleCell[400]	GranuleCell[410]	GranuleCell[420]	GranuleCell[430]	GranuleCell[440]	GranuleCell[450]	GranuleCell[460]	GranuleCell[470]	GranuleCell[480]	GranuleCell[490]	GranuleCell[498]	GranuleCell[499]	BasketCell[0]	BasketCell[1]	BasketCell[2]	BasketCell[3]	BasketCell[4]	BasketCell[5]	MossyCell[0]	MossyCell[1]	MossyCell[2]	MossyCell[3]	MossyCell[4]	MossyCell[5]	MossyCell[6]	MossyCell[7]	MossyCell[8]	MossyCell[9]	MossyCell[10]	MossyCell[11]	MossyCell[12]	MossyCell[13]	MossyCell[14]	HIPPCell[0]	HIPPCell[1]	HIPPCell[2]	HIPPCell[3]	HIPPCell[4]	HIPPCell[5]	
0.025000	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629053	-70.629053	-70.629053	-70.629053	-70.629053	-70.629053	
0.050000	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-70.414974	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629053	-70.629053	-70.629053	-70.629053	-70.629053	-70.629053	
0.075000	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629053	-70.629053	-70.629053	-70.629053	-70.629053	-70.629053	
0.100000	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-70.414975	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629052	-70.629052	-70.629052	-70.629052	-70.629052	-70.629052	
0.125000	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629052	-70.629052	-70.629052	-70.629052	-70.629052	-70.629052	
0.150000	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629051	-70.629051	-70.629051	-70.629051	-70.629051	-70.629051	
0.175000	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629051	-70.629051	-70.629051	-70.629051	-70.629051	-70.629051	
0.200000	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-70.414976	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629050	-70.629050	-70.629050	-70.629050	-70.629050	-70.629050	
0.225000	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629050	-70.629050	-70.629050	-70.629050	-70.629050	-70.629050	
0.250000	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-70.414977	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.996071	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-59.224928	-70.629050	-70.629050	-70.629050	-70.629050	-70.629050	-70.629050	
