t	GranuleCell[0]	HIPPCell[1]	GranuleCell[0]	GranuleCell[1]	GranuleCell[2]	GranuleCell[3]	GranuleCell[4]	BasketCell[0]	BasketCell[1]	MossyCell[0]	MossyCell[1]	HIPPCell[0]	HIPPCell[1]	
0.100000	-70.439422	-70.669364	-70.439422	-70.439422	-70.439422	-70.439422	-70.439422	-60.000583	-60.000583	-60.114144	-60.114144	-70.669364	-70.669364	
0.200000	-70.439423	-70.669361	-70.439423	-70.439423	-70.439423	-70.439423	-70.439423	-60.000583	-60.000583	-60.114144	-60.114144	-70.669361	-70.669361	
0.300000	-70.439424	-70.669358	-70.439424	-70.439424	-70.439424	-70.439424	-70.439424	-60.000583	-60.000583	-60.114144	-60.114144	-70.669358	-70.669358	
0.400000	-70.439425	-70.669355	-70.439425	-70.439425	-70.439425	-70.439425	-70.439425	-60.000583	-60.000583	-60.114144	-60.114144	-70.669355	-70.669355	
0.500000	-70.439425	-70.669352	-70.439425	-70.439425	-70.439425	-70.439425	-70.439425	-60.000583	-60.000583	-60.114144	-60.114144	-70.669352	-70.669352	
0.600000	-70.439426	-70.669349	-70.439426	-70.439426	-70.439426	-70.439426	-70.439426	-60.000583	-60.000583	-60.114144	-60.114144	-70.669349	-70.669349	
0.700000	-70.439427	-70.669345	-70.439427	-70.439427	-70.439427	-70.439427	-70.439427	-60.000583	-60.000583	-60.114144	-60.114144	-70.669345	-70.669345	
0.800000	-70.439427	-70.669342	-70.439427	-70.439427	-70.439427	-70.439427	-70.439427	-60.000583	-60.000583	-60.114144	-60.114144	-70.669342	-70.669342	
0.900000	-70.439428	-70.669339	-70.439428	-70.439428	-70.439428	-70.439428	-70.439428	-60.000583	-60.000583	-60.114144	-60.114144	-70.669339	-70.669339	
1.000000	-70.439428	-70.669336	-70.439428	-70.439428	-70.439428	-70.439428	-70.439428	-60.000583	-60.000583	-60.114144	-60.114144	-70.669336	-70.669336	
1.100000	-70.439429	-70.669333	-70.439429	-70.439429	-70.439429	-70.439429	-70.439429	-60.000583	-60.000583	-60.114144	-60.114144	-70.669333	-70.669333	
1.200000	-70.439429	-70.669330	-70.439429	-70.439429	-70.439429	-70.439429	-70.439429	-60.000583	-60.000583	-60.114144	-60.114144	-70.669330	-70.669330	
1.300000	-70.439430	-70.669327	-70.439430	-70.439430	-70.439430	-70.439430	-70.439430	-60.000583	-60.000583	-60.114144	-60.114144	-70.669327	-70.669327	
1.400000	-70.439430	-70.669324	-70.439430	-70.439430	-70.439430	-70.439430	-70.439430	-60.000583	-60.000583	-60.114144	-60.114144	-70.669324	-70.669324	
1.500000	-70.439431	-70.669321	-70.439431	-70.439431	-70.439431	-70.439431	-70.439431	-60.000583	-60.000583	-60.114144	-60.114144	-70.669321	-70.669321	
1.600000	-70.439431	-70.669318	-70.439431	-70.439431	-70.439431	-70.439431	-70.439431	-60.000583	-60.000583	-60.114144	-60.114144	-70.669318	-70.669318	
1.700000	-70.439432	-70.669315	-70.439432	-70.439432	-70.439432	-70.439432	-70.439432	-60.000583	-60.000583	-60.114144	-60.114144	-70.669315	-70.669315	
1.800000	-70.439432	-70.669312	-70.439432	-70.439432	-70.439432	-70.439432	-70.439432	-60.000583	-60.000583	-60.114144	-60.114144	-70.669312	-70.669312	
1.900000	-70.439432	-70.669309	-70.439432	-70.439432	-70.439432	-70.439432	-70.439432	-60.000583	-60.000583	-60.114144	-60.114144	-70.669309	-70.669309	
2.000000	-70.439433	-70.669306	-70.439433	-70.439433	-70.439433	-70.439433	-70.439433	-60.000583	-60.000583	-60.114144	-60.114144	-70.669306	-70.669306	
2.100000	-70.439433	-70.669303	-70.439433	-70.439433	-70.439433	-70.439433	-70.439433	-60.000583	-60.000583	-60.114144	-60.114144	-70.669303	-70.669303	
2.200000	-70.439434	-70.669300	-70.439434	-70.439434	-70.439434	-70.439434	-70.439434	-60.000583	-60.000583	-60.114144	-60.114144	-70.669300	-70.669300	
2.300000	-70.439434	-70.669297	-70.439434	-70.439434	-70.439434	-70.439434	-70.439434	-60.000583	-60.000583	-60.114144	-60.114144	-70.669297	-70.669297	
