time	voltage	cai	inat
0.000000	-65.000000	0.000000	-0.000002
0.025000	-28.420872	0.029355	-0.000002
0.050000	-nan	-nan	-0.077729
0.075000	-nan	-nan	-nan
0.100000	-nan	-nan	-nan
0.125000	-nan	-nan	-nan
0.150000	-nan	-nan	-nan
0.175000	-nan	-nan	-nan
0.200000	-nan	-nan	-nan
0.225000	-nan	-nan	-nan
0.250000	-nan	-nan	-nan
0.275000	-nan	-nan	-nan
0.300000	-nan	-nan	-nan
0.325000	-nan	-nan	-nan
0.350000	-nan	-nan	-nan
0.375000	-nan	-nan	-nan
0.400000	-nan	-nan	-nan
0.425000	-nan	-nan	-nan
0.450000	-nan	-nan	-nan
0.475000	-nan	-nan	-nan
0.500000	-nan	-nan	-nan
0.525000	-nan	-nan	-nan
0.550000	-nan	-nan	-nan
0.575000	-nan	-nan	-nan
0.600000	-nan	-nan	-nan
0.625000	-nan	-nan	-nan
0.650000	-nan	-nan	-nan
0.675000	-nan	-nan	-nan
0.700000	-nan	-nan	-nan
0.725000	-nan	-nan	-nan
0.750000	-nan	-nan	-nan
0.775000	-nan	-nan	-nan
0.800000	-nan	-nan	-nan
0.825000	-nan	-nan	-nan
0.850000	-nan	-nan	-nan
0.875000	-nan	-nan	-nan
0.900000	-nan	-nan	-nan
0.925000	-nan	-nan	-nan
0.950000	-nan	-nan	-nan
0.975000	-nan	-nan	-nan
1.000000	-nan	-nan	-nan
1.025000	-nan	-nan	-nan
1.050000	-nan	-nan	-nan
1.075000	-nan	-nan	-nan
1.100000	-nan	-nan	-nan
1.125000	-nan	-nan	-nan
1.150000	-nan	-nan	-nan
1.175000	-nan	-nan	-nan
1.200000	-nan	-nan	-nan
1.225000	-nan	-nan	-nan
1.250000	-nan	-nan	-nan
1.275000	-nan	-nan	-nan
1.300000	-nan	-nan	-nan
1.325000	-nan	-nan	-nan
1.350000	-nan	-nan	-nan
1.375000	-nan	-nan	-nan
1.400000	-nan	-nan	-nan
1.425000	-nan	-nan	-nan
1.450000	-nan	-nan	-nan
1.475000	-nan	-nan	-nan
1.500000	-nan	-nan	-nan
1.525000	-nan	-nan	-nan
1.550000	-nan	-nan	-nan
1.575000	-nan	-nan	-nan
1.600000	-nan	-nan	-nan
1.625000	-nan	-nan	-nan
1.650000	-nan	-nan	-nan
1.675000	-nan	-nan	-nan
1.700000	-nan	-nan	-nan
1.725000	-nan	-nan	-nan
1.750000	-nan	-nan	-nan
1.775000	-nan	-nan	-nan
1.800000	-nan	-nan	-nan
1.825000	-nan	-nan	-nan
1.850000	-nan	-nan	-nan
1.875000	-nan	-nan	-nan
1.900000	-nan	-nan	-nan
1.925000	-nan	-nan	-nan
1.950000	-nan	-nan	-nan
1.975000	-nan	-nan	-nan
2.000000	-nan	-nan	-nan
2.025000	-nan	-nan	-nan
2.050000	-nan	-nan	-nan
2.075000	-nan	-nan	-nan
2.100000	-nan	-nan	-nan
2.125000	-nan	-nan	-nan
2.150000	-nan	-nan	-nan
2.175000	-nan	-nan	-nan
2.200000	-nan	-nan	-nan
2.225000	-nan	-nan	-nan
2.250000	-nan	-nan	-nan
2.275000	-nan	nan	-nan
2.300000	-nan	nan	-nan
2.325000	-nan	nan	-nan
2.350000	-nan	nan	-nan
2.375000	-nan	nan	-nan
2.400000	-nan	nan	-nan
