t	GranuleCell[0]	GranuleCell[10]	GranuleCell[20]	GranuleCell[30]	GranuleCell[40]	GranuleCell[50]	GranuleCell[60]	GranuleCell[70]	GranuleCell[80]	GranuleCell[90]	GranuleCell[100]	GranuleCell[110]	GranuleCell[120]	GranuleCell[130]	GranuleCell[140]	GranuleCell[150]	GranuleCell[160]	GranuleCell[170]	GranuleCell[180]	GranuleCell[190]	GranuleCell[200]	GranuleCell[210]	GranuleCell[220]	GranuleCell[230]	GranuleCell[240]	GranuleCell[250]	GranuleCell[260]	GranuleCell[270]	GranuleCell[280]	GranuleCell[290]	GranuleCell[300]	GranuleCell[310]	GranuleCell[320]	GranuleCell[330]	GranuleCell[340]	GranuleCell[350]	GranuleCell[360]	GranuleCell[370]	GranuleCell[380]	GranuleCell[390]	GranuleCell[400]	GranuleCell[410]	GranuleCell[420]	GranuleCell[430]	GranuleCell[440]	GranuleCell[450]	GranuleCell[460]	GranuleCell[470]	GranuleCell[480]	GranuleCell[490]	GranuleCell[498]	GranuleCell[499]	BasketCell[0]	BasketCell[1]	BasketCell[2]	BasketCell[3]	BasketCell[4]	BasketCell[5]	MossyCell[0]	MossyCell[1]	MossyCell[2]	MossyCell[3]	MossyCell[4]	MossyCell[5]	MossyCell[6]	MossyCell[7]	MossyCell[8]	MossyCell[9]	MossyCell[10]	MossyCell[11]	MossyCell[12]	MossyCell[13]	MossyCell[14]	HIPPCell[0]	HIPPCell[1]	HIPPCell[2]	HIPPCell[3]	HIPPCell[4]	HIPPCell[5]	
0.025000	-49.793282	-49.796145	-49.798640	-49.795668	-49.796715	-49.795920	-49.794328	-49.796306	-49.796398	-49.798660	-49.797362	-49.797569	-49.797537	-49.797818	-49.797060	-49.797569	-49.798045	-49.792368	-49.797565	-49.795453	-49.794536	-49.795179	-49.798049	-49.795174	-49.798671	-49.795157	-49.796400	-49.794534	-49.795443	-49.797399	-49.797451	-49.797472	-49.797451	-49.797458	-49.797565	-49.797746	-49.795895	-49.797556	-49.794677	-49.797962	-49.794108	-49.796833	-49.796783	-49.796804	-49.797752	-49.797627	-49.797496	-49.795476	-49.796804	-49.794109	-49.797627	-49.793262	-52.035355	-52.032247	-52.032033	-52.035359	-52.036987	-52.036974	-28.698397	-19.675599	-29.696531	-23.294192	-19.664672	-15.614776	-18.195727	-11.376506	-15.434321	-26.493304	-18.427714	-13.381584	-5.687796	-31.056927	-4.355608	-58.878965	-54.290352	-67.086252	-60.997254	-63.641297	-62.138883	
0.050000	-49.793328	-49.796192	-49.798686	-49.795714	-49.796761	-49.795966	-49.794375	-49.796353	-49.796444	-49.798706	-49.797408	-49.797615	-49.797583	-49.797864	-49.797106	-49.797615	-49.798092	-49.792414	-49.797611	-49.795499	-49.794583	-49.795225	-49.798096	-49.795220	-49.798717	-49.795204	-49.796446	-49.794581	-49.795490	-49.797445	-49.797497	-49.797518	-49.797497	-49.797504	-49.797611	-49.797792	-49.795941	-49.797602	-49.794723	-49.798008	-49.794155	-49.796879	-49.796829	-49.796850	-49.797798	-49.797673	-49.797542	-49.795522	-49.796850	-49.794155	-49.797673	-49.793308	-52.035350	-52.032246	-52.032032	-52.035354	-52.036981	-52.036968	-28.385209	-19.462325	-29.405213	-22.984843	-19.450888	-15.564434	-18.037361	-11.507065	-15.391818	-26.163812	-18.257238	-13.428756	-6.022962	-30.796633	-4.736209	-58.878042	-54.287251	-67.085830	-60.996911	-63.640986	-62.137989	
0.075000	-49.793370	-49.796234	-49.798729	-49.795756	-49.796803	-49.796008	-49.794417	-49.796395	-49.796486	-49.798748	-49.797450	-49.797657	-49.797625	-49.797906	-49.797148	-49.797657	-49.798134	-49.792456	-49.797653	-49.795542	-49.794625	-49.795267	-49.798138	-49.795263	-49.798759	-49.795246	-49.796489	-49.794623	-49.795532	-49.797487	-49.797539	-49.797560	-49.797539	-49.797546	-49.797653	-49.797835	-49.795983	-49.797645	-49.794765	-49.798051	-49.794197	-49.796921	-49.796871	-49.796892	-49.797839	-49.797715	-49.797584	-49.795564	-49.796892	-49.794198	-49.797715	-49.793350	-52.035346	-52.032246	-52.032032	-52.035350	-52.036975	-52.036962	-27.861000	-19.117039	-28.913628	-22.480878	-19.105722	-15.482608	-17.781122	-11.716703	-15.322714	-25.620149	-17.981564	-13.503473	-6.573457	-30.350495	-5.352105	-58.877134	-54.284340	-67.085411	-60.996570	-63.640674	-62.137100	
0.100000	-49.793410	-49.796274	-49.798769	-49.795796	-49.796843	-49.796048	-49.794457	-49.796435	-49.796526	-49.798788	-49.797490	-49.797697	-49.797665	-49.797946	-49.797188	-49.797697	-49.798174	-49.792496	-49.797694	-49.795582	-49.794665	-49.795308	-49.798178	-49.795303	-49.798799	-49.795286	-49.796529	-49.794663	-49.795572	-49.797527	-49.797579	-49.797600	-49.797579	-49.797586	-49.797694	-49.797875	-49.796023	-49.797685	-49.794805	-49.798090	-49.794237	-49.796961	-49.796911	-49.796931	-49.797879	-49.797755	-49.797624	-49.795604	-49.796931	-49.794238	-49.797755	-49.793390	-52.035342	-52.032245	-52.032031	-52.035346	-52.036970	-52.036956	-27.526797	-18.911227	-28.601128	-22.167589	-18.899017	-15.436399	-17.631045	-11.834078	-15.283811	-25.274093	-17.819555	-13.546662	-6.870243	-30.070723	-5.689569	-58.876234	-54.281518	-67.084993	-60.996231	-63.640363	-62.136214	
0.125000	-49.793448	-49.796312	-49.798807	-49.795835	-49.796881	-49.796086	-49.794495	-49.796473	-49.796564	-49.798827	-49.797528	-49.797735	-49.797703	-49.797984	-49.797226	-49.797735	-49.798212	-49.792535	-49.797732	-49.795620	-49.794704	-49.795346	-49.798216	-49.795341	-49.798837	-49.795325	-49.796567	-49.794702	-49.795611	-49.797565	-49.797617	-49.797639	-49.797617	-49.797625	-49.797732	-49.797913	-49.796061	-49.797723	-49.794844	-49.798128	-49.794275	-49.796999	-49.796949	-49.796969	-49.797917	-49.797793	-49.797662	-49.795642	-49.796969	-49.794276	-49.797793	-49.793428	-52.035338	-52.032244	-52.032030	-52.035342	-52.036964	-52.036951	-27.046280	-18.619269	-28.149560	-21.723981	-18.606635	-15.370028	-17.417714	-12.001394	-15.227873	-24.781193	-17.589439	-13.607280	-7.302187	-29.662003	-6.174672	-58.875340	-54.278763	-67.084577	-60.995893	-63.640051	-62.135331	
0.150000	-49.793485	-49.796348	-49.798844	-49.795871	-49.796918	-49.796123	-49.794532	-49.796510	-49.796600	-49.798863	-49.797565	-49.797772	-49.797740	-49.798021	-49.797263	-49.797772	-49.798249	-49.792572	-49.797769	-49.795657	-49.794741	-49.795383	-49.798253	-49.795378	-49.798874	-49.795361	-49.796604	-49.794739	-49.795647	-49.797602	-49.797654	-49.797675	-49.797654	-49.797661	-49.797769	-49.797950	-49.796098	-49.797760	-49.794881	-49.798165	-49.794312	-49.797036	-49.796985	-49.797006	-49.797954	-49.797830	-49.797699	-49.795679	-49.797006	-49.794313	-49.797830	-49.793465	-52.035334	-52.032244	-52.032029	-52.035338	-52.036959	-52.036946	-26.651940	-18.400845	-27.778554	-21.375536	-18.387251	-15.323048	-17.261204	-12.117630	-15.188390	-24.381037	-17.420027	-13.650533	-7.592803	-29.328058	-6.504526	-58.874451	-54.276050	-67.084162	-60.995556	-63.639740	-62.134450	
0.175000	-49.793520	-49.796384	-49.798879	-49.795907	-49.796953	-49.796158	-49.794567	-49.796545	-49.796636	-49.798899	-49.797600	-49.797807	-49.797775	-49.798056	-49.797298	-49.797807	-49.798284	-49.792607	-49.797804	-49.795693	-49.794776	-49.795418	-49.798288	-49.795414	-49.798909	-49.795397	-49.796640	-49.794774	-49.795683	-49.797638	-49.797689	-49.797711	-49.797689	-49.797697	-49.797804	-49.797985	-49.796133	-49.797795	-49.794916	-49.798200	-49.794347	-49.797071	-49.797020	-49.797041	-49.797989	-49.797865	-49.797734	-49.795714	-49.797041	-49.794348	-49.797865	-49.793500	-52.035330	-52.032243	-52.032029	-52.035334	-52.036954	-52.036940	-26.158177	-18.131008	-27.312417	-20.945187	-18.116728	-15.264415	-17.067472	-12.262283	-15.139071	-23.883731	-17.210485	-13.703738	-7.959902	-28.905716	-6.917834	-58.873565	-54.273368	-67.083747	-60.995219	-63.639428	-62.133570	
0.200000	-49.793554	-49.796418	-49.798913	-49.795941	-49.796987	-49.796192	-49.794602	-49.796579	-49.796670	-49.798933	-49.797634	-49.797841	-49.797809	-49.798090	-49.797332	-49.797841	-49.798318	-49.792641	-49.797838	-49.795727	-49.794811	-49.795453	-49.798323	-49.795448	-49.798944	-49.795431	-49.796674	-49.794809	-49.795717	-49.797672	-49.797724	-49.797745	-49.797724	-49.797731	-49.797838	-49.798019	-49.796168	-49.797829	-49.794950	-49.798235	-49.794382	-49.797106	-49.797054	-49.797075	-49.798023	-49.797899	-49.797768	-49.795748	-49.797075	-49.794383	-49.797899	-49.793534	-52.035327	-52.032242	-52.032028	-52.035330	-52.036949	-52.036935	-25.694856	-17.900813	-26.873535	-20.560901	-17.885543	-15.216750	-16.905083	-12.377520	-15.099073	-23.424057	-17.034345	-13.746985	-8.245103	-28.508288	-7.241070	-58.872681	-54.270707	-67.083334	-60.994883	-63.639117	-62.132691	
0.225000	-49.793588	-49.796451	-49.798946	-49.795974	-49.797021	-49.796225	-49.794635	-49.796612	-49.796703	-49.798966	-49.797668	-49.797874	-49.797842	-49.798123	-49.797366	-49.797874	-49.798352	-49.792675	-49.797872	-49.795760	-49.794844	-49.795486	-49.798356	-49.795482	-49.798977	-49.795465	-49.796707	-49.794842	-49.795751	-49.797705	-49.797757	-49.797778	-49.797757	-49.797764	-49.797872	-49.798052	-49.796201	-49.797863	-49.794984	-49.798268	-49.794415	-49.797139	-49.797087	-49.797108	-49.798056	-49.797933	-49.797801	-49.795781	-49.797108	-49.794416	-49.797933	-49.793568	-52.035323	-52.032242	-52.032027	-52.035327	-52.036944	-52.036930	-25.157797	-17.640359	-26.363042	-20.124087	-17.624255	-15.162591	-16.721343	-12.508210	-15.053605	-22.895986	-16.835074	-13.795677	-8.571687	-28.043760	-7.609362	-58.871799	-54.268061	-67.082921	-60.994547	-63.638806	-62.131814	
0.250000	-49.793620	-49.796484	-49.798979	-49.796007	-49.797053	-49.796257	-49.794667	-49.796645	-49.796735	-49.798999	-49.797700	-49.797907	-49.797874	-49.798155	-49.797398	-49.797907	-49.798384	-49.792707	-49.797904	-49.795793	-49.794876	-49.795519	-49.798388	-49.795514	-49.799009	-49.795497	-49.796740	-49.794875	-49.795783	-49.797737	-49.797789	-49.797811	-49.797789	-49.797797	-49.797904	-49.798085	-49.796233	-49.797895	-49.795016	-49.798300	-49.794447	-49.797171	-49.797120	-49.797140	-49.798088	-49.797965	-49.797833	-49.795814	-49.797140	-49.794448	-49.797965	-49.793600	-52.035320	-52.032241	-52.032027	-52.035323	-52.036939	-52.036925	-24.618442	-17.401518	-25.847887	-19.707114	-17.384405	-15.114816	-16.555319	-12.621406	-15.013573	-22.374711	-16.654564	-13.838476	-8.849396	-27.573748	-7.923809	-58.870919	-54.265426	-67.082509	-60.994212	-63.638495	-62.130938	
