t	GranuleCell[0]	GranuleCell[10]	GranuleCell[20]	GranuleCell[30]	GranuleCell[40]	GranuleCell[50]	GranuleCell[60]	GranuleCell[70]	GranuleCell[80]	GranuleCell[90]	GranuleCell[100]	GranuleCell[110]	GranuleCell[120]	GranuleCell[130]	GranuleCell[140]	GranuleCell[150]	GranuleCell[160]	GranuleCell[170]	GranuleCell[180]	GranuleCell[190]	GranuleCell[200]	GranuleCell[210]	GranuleCell[220]	GranuleCell[230]	GranuleCell[240]	GranuleCell[250]	GranuleCell[260]	GranuleCell[270]	GranuleCell[280]	GranuleCell[290]	GranuleCell[300]	GranuleCell[310]	GranuleCell[320]	GranuleCell[330]	GranuleCell[340]	GranuleCell[350]	GranuleCell[360]	GranuleCell[370]	GranuleCell[380]	GranuleCell[390]	GranuleCell[400]	GranuleCell[410]	GranuleCell[420]	GranuleCell[430]	GranuleCell[440]	GranuleCell[450]	GranuleCell[460]	GranuleCell[470]	GranuleCell[480]	GranuleCell[490]	GranuleCell[498]	GranuleCell[499]	BasketCell[0]	BasketCell[1]	BasketCell[2]	BasketCell[3]	BasketCell[4]	BasketCell[5]	MossyCell[0]	MossyCell[1]	MossyCell[2]	MossyCell[3]	MossyCell[4]	MossyCell[5]	MossyCell[6]	MossyCell[7]	MossyCell[8]	MossyCell[9]	MossyCell[10]	MossyCell[11]	MossyCell[12]	MossyCell[13]	MossyCell[14]	HIPPCell[0]	HIPPCell[1]	HIPPCell[2]	HIPPCell[3]	HIPPCell[4]	HIPPCell[5]	
0.025000	-82.640277	-82.546784	-81.755387	-82.381080	-82.076530	-83.060211	-82.658137	-82.186161	-81.873200	-81.831869	-81.965529	-81.839493	-82.347507	-81.842873	-82.163204	-82.026683	-82.337654	-83.246537	-82.112126	-82.262509	-83.009432	-82.977674	-81.987869	-82.858146	-81.976906	-82.411391	-82.578740	-82.951460	-82.469580	-82.081386	-82.206287	-81.951505	-82.187905	-82.063746	-81.875284	-82.241933	-82.153695	-82.168222	-82.266298	-81.835960	-82.655857	-82.064140	-82.071577	-82.043921	-81.866876	-81.867306	-82.490477	-82.651208	-82.205470	-82.967646	-81.946937	-82.720172	-13.962561	-3.847072	-69.897144	23.374555	-1.666980	-16.333177	-57.912829	-58.103720	-57.976045	-58.194609	-58.130402	-57.810770	-57.847023	-58.182888	-58.110566	-58.313647	-58.352589	-58.463072	-58.329638	-58.304710	-58.350760	-15.546631	34.936893	-85.756421	-84.246985	-80.146630	-84.027994	
0.050000	-82.646337	-82.553095	-81.762601	-82.383367	-82.079337	-83.062326	-82.664409	-82.192777	-81.880201	-81.838194	-81.971449	-81.845831	-82.349373	-81.849179	-82.164882	-82.027880	-82.334311	-83.241214	-82.108729	-82.268024	-83.004552	-82.972821	-81.991119	-82.853376	-81.974043	-82.407329	-82.575599	-82.946636	-82.470701	-82.083448	-82.209349	-81.954804	-82.194102	-82.065856	-81.882292	-82.244947	-82.160643	-82.169879	-82.271788	-81.842295	-82.665277	-82.073979	-82.073655	-82.049953	-81.872958	-81.873388	-82.492204	-82.656441	-82.211438	-82.973739	-81.950232	-82.725142	-23.012399	-15.705733	-68.901666	5.013681	-14.119407	-24.284072	-55.227723	-55.489637	-55.314489	-55.613728	-55.525708	-55.087268	-55.137256	-55.597717	-55.498842	-55.775899	-55.829271	-55.979512	-55.798080	-55.764104	-55.826428	-15.588803	20.586372	-85.750941	-84.245567	-80.136502	-84.022749	
0.075000	-82.650483	-82.557206	-81.767021	-82.384072	-82.080250	-83.062601	-82.668745	-82.197172	-81.884692	-81.841833	-81.974983	-81.849483	-82.349190	-81.852803	-82.164802	-82.027154	-82.329710	-83.235910	-82.104344	-82.271452	-82.999374	-82.967666	-81.992163	-82.848297	-81.969872	-82.402618	-82.571690	-82.941509	-82.470382	-82.083453	-82.210223	-81.955894	-82.197611	-82.065900	-81.886785	-82.245774	-82.165071	-82.169781	-82.275196	-81.845944	-82.672251	-82.080828	-82.073671	-82.053318	-81.876379	-81.876809	-82.491894	-82.659600	-82.214739	-82.977901	-81.951319	-82.728329	-29.379268	-23.599020	-68.092049	-7.366331	-22.380937	-29.973948	-50.398840	-50.795936	-50.530300	-50.983562	-50.850463	-50.185693	-50.261724	-50.959639	-50.810296	-51.228309	-51.308178	-51.534037	-51.261332	-51.209986	-51.303981	-15.614876	9.448429	-85.744509	-84.242719	-80.125397	-84.017003	
0.100000	-82.653192	-82.559634	-81.769250	-82.383446	-82.079569	-83.061318	-82.671630	-82.199871	-81.887241	-81.843346	-81.976648	-81.851008	-82.347246	-81.854304	-82.163211	-82.024752	-82.323812	-83.230380	-82.098902	-82.273264	-82.993704	-82.962016	-81.991351	-82.842717	-81.964376	-82.397128	-82.566929	-82.935885	-82.468818	-82.081693	-82.209250	-81.955127	-82.198992	-82.064170	-81.889332	-82.244755	-82.167547	-82.168171	-82.276994	-81.847466	-82.677487	-82.085462	-82.071917	-82.054567	-81.877689	-81.878118	-82.489829	-82.661148	-82.215923	-82.980617	-81.950548	-82.730158	-34.277468	-29.466180	-67.302333	-16.473359	-28.490073	-34.390349	-44.464387	-45.071941	-44.665702	-45.357691	-45.154817	-44.137331	-44.254152	-45.321478	-45.093876	-45.730047	-45.851319	-46.193575	-45.780289	-45.702288	-45.844767	-15.627325	0.257014	-85.737795	-84.239448	-80.114426	-84.011091	
0.125000	-82.654704	-82.560659	-81.769648	-82.381700	-82.077548	-83.058726	-82.673308	-82.201152	-81.888166	-81.843079	-81.976748	-81.850753	-82.343817	-81.854027	-82.160345	-82.020940	-82.316811	-83.224648	-82.092557	-82.273727	-82.987606	-82.955936	-81.988977	-82.836703	-81.957751	-82.390970	-82.561441	-82.929832	-82.466205	-82.078445	-82.206724	-81.952796	-82.198593	-82.060947	-81.890251	-82.242182	-82.168392	-82.165288	-82.277445	-81.847208	-82.681281	-82.088252	-82.068673	-82.054045	-81.877231	-81.877660	-82.486285	-82.661352	-82.215335	-82.982128	-81.948214	-82.730855	-38.094209	-33.965627	-66.494360	-23.232661	-33.146547	-37.827381	-34.280176	-35.258471	-34.604336	-35.719916	-35.392123	-33.752605	-33.941290	-35.661768	-35.294255	-36.320440	-36.515060	-37.066021	-36.400927	-36.275298	-36.504579	-15.632384	-7.363044	-85.730888	-84.235873	-80.103496	-84.005068	
0.150000	-82.655203	-82.560499	-81.768500	-82.379015	-82.074401	-83.055042	-82.673963	-82.201237	-81.887720	-81.841313	-81.975529	-81.848999	-82.339148	-81.852253	-82.156414	-82.015952	-82.308903	-83.218763	-82.085471	-82.273050	-82.981166	-82.949513	-81.985294	-82.830341	-81.950196	-82.384267	-82.555356	-82.923434	-82.462714	-82.073955	-82.202897	-81.949154	-82.196696	-82.056474	-81.889796	-82.238310	-82.167862	-82.161340	-82.276761	-81.845451	-82.683853	-82.089483	-82.064181	-82.052033	-81.875284	-81.875713	-82.481507	-82.660422	-82.213258	-82.982621	-81.944568	-82.730595	-41.170193	-37.658053	-65.608145	-28.513401	-36.952307	-40.573080	-18.848121	-20.298759	-19.325514	-20.989067	-20.498274	-18.074709	-18.350131	-20.902502	-20.352598	-21.897500	-22.192920	-23.031265	-22.019561	-21.828573	-22.176903	-15.631642	-13.778402	-85.723912	-84.232177	-80.092692	-83.999003	
0.175000	-82.654845	-82.559341	-81.766052	-82.375547	-82.070317	-83.050452	-82.673755	-82.200311	-81.886119	-81.838288	-81.973202	-81.845984	-82.333448	-81.849221	-82.151597	-82.009992	-82.300257	-83.212771	-82.077784	-82.271416	-82.974461	-82.942823	-81.980517	-82.823710	-81.941881	-82.377129	-82.548791	-82.916770	-82.458494	-82.068430	-82.197985	-81.944417	-82.193543	-82.050962	-81.888182	-82.233353	-82.166174	-82.156506	-82.275122	-81.842434	-82.685384	-82.089393	-82.058652	-82.048771	-81.872087	-81.872516	-82.475704	-82.658541	-82.209930	-82.982254	-81.939828	-82.729529	-43.663778	-40.770944	-64.593020	-32.785470	-40.161429	-42.775437	1.450228	-0.136591	0.934734	-0.909829	-0.359020	2.275647	1.982056	-0.813465	-0.197505	-1.947997	-2.288474	-3.270620	-2.087797	-1.867838	-2.269885	-15.627070	-19.185683	-85.716904	-84.228414	-80.081979	-83.992916	
0.200000	-82.653767	-82.557346	-81.762515	-82.371430	-82.065454	-83.045116	-82.672818	-82.198536	-81.883549	-81.834209	-81.969945	-81.841916	-82.326899	-81.845138	-82.146048	-82.003234	-82.291023	-83.206711	-82.069618	-82.268977	-82.967559	-82.935934	-81.974834	-82.816876	-81.932957	-82.369650	-82.541846	-82.909906	-82.453673	-82.062052	-82.192175	-81.938773	-82.189341	-82.044590	-81.885596	-82.227500	-82.163513	-82.150941	-82.272683	-81.838364	-82.686031	-82.088191	-82.052266	-82.044464	-81.867845	-81.868274	-82.469057	-82.655861	-82.205559	-82.981165	-81.934181	-82.727787	-45.696650	-43.422290	-63.379691	-36.393797	-42.906291	-44.556891	19.447788	18.276457	19.071225	17.694838	18.110251	20.045202	19.833503	17.766005	18.229534	16.900984	16.639802	15.873067	16.794381	16.964121	16.654254	-15.619708	-23.749711	-85.709899	-84.224633	-80.071358	-83.986829	
0.225000	-82.652083	-82.554651	-81.758071	-82.366779	-82.059951	-83.039171	-82.671270	-82.196050	-81.880170	-81.829255	-81.965915	-81.836973	-82.319656	-81.840181	-82.139900	-81.995829	-82.281325	-83.200618	-82.061079	-82.265869	-82.960516	-82.928903	-81.968406	-82.809897	-81.923550	-82.361912	-82.534606	-82.902899	-82.448361	-82.054975	-82.185628	-81.932382	-82.184268	-82.037516	-81.882197	-82.220911	-82.160043	-82.144777	-82.269576	-81.833418	-82.685930	-82.086052	-82.045179	-82.039291	-81.862735	-81.863164	-82.461720	-82.652518	-82.200323	-82.979469	-81.927786	-82.725480	-47.356768	-45.645563	-61.869362	-39.517370	-45.222243	-46.004415	31.463785	30.796867	31.251547	30.462062	30.701797	31.799090	31.680085	30.500873	30.768147	29.998566	29.847697	29.395129	29.938064	30.037218	29.856225	-15.610468	-27.588776	-85.702913	-84.220860	-80.060814	-83.980748	
0.250000	-82.649895	-82.551375	-81.752875	-82.361693	-82.053927	-83.032736	-82.669212	-82.192972	-81.876118	-81.823578	-81.961245	-81.831306	-82.311852	-81.834503	-82.133267	-81.987904	-82.271273	-83.194520	-82.052254	-82.262206	-82.953380	-82.921777	-81.961369	-82.802820	-81.913768	-82.353982	-82.527145	-82.895798	-82.442654	-82.047334	-82.178482	-81.925381	-82.178478	-82.029872	-81.878124	-82.213723	-82.155900	-82.138128	-82.265917	-81.827749	-82.685198	-82.083131	-82.037524	-82.033404	-81.856909	-81.857338	-82.453829	-82.648626	-82.194374	-82.977268	-81.920783	-82.722703	-48.724129	-47.475628	-59.902778	-42.236088	-47.135870	-47.190198	37.940043	37.605787	37.834592	37.438218	37.558668	38.107432	38.047932	37.455065	37.589452	37.204274	37.131140	36.904179	37.175923	37.225690	37.135456	-15.599987	-30.800555	-85.695957	-84.217110	-80.050340	-83.974681	
