time	voltage	cai	inat
0.000000	-65.000000	0.000002	-0.000200
0.025000	-66.356982	0.000010	-0.000200
0.050000	-67.415386	0.000011	-0.000107
0.075000	-68.203102	0.000010	-0.000065
0.100000	-68.782266	0.000009	-0.000044
0.125000	-69.205918	0.000008	-0.000034
0.150000	-69.515249	0.000007	-0.000027
0.175000	-69.751512	0.000007	-0.000024
0.200000	-68.372575	0.000006	-0.000021
0.225000	-68.757406	0.000007	-0.000041
0.250000	-69.184045	0.000007	-0.000034
0.275000	-69.503716	0.000007	-0.000028
0.300000	-69.735587	0.000006	-0.000024
0.325000	-69.903779	0.000006	-0.000021
0.350000	-70.025381	0.000006	-0.000019
0.375000	-68.565637	0.000006	-0.000018
0.400000	-68.925568	0.000007	-0.000037
0.425000	-69.307109	0.000007	-0.000031
0.450000	-69.603147	0.000007	-0.000026
0.475000	-69.808216	0.000006	-0.000023
0.500000	-69.957537	0.000006	-0.000020
0.525000	-70.065895	0.000006	-0.000019
0.550000	-70.144041	0.000006	-0.000018
0.575000	-70.200790	0.000006	-0.000017
0.600000	-70.232012	0.000005	-0.000017
0.625000	-70.265015	0.000005	-0.000016
0.650000	-70.288951	0.000005	-0.000016
0.675000	-70.306221	0.000005	-0.000016
0.700000	-69.922999	0.000005	-0.000016
0.725000	-68.835536	0.000006	-0.000019
0.750000	-69.138112	0.000006	-0.000033
0.775000	-68.690522	0.000006	-0.000028
0.800000	-68.739247	0.000007	-0.000035
0.825000	-69.137221	0.000007	-0.000034
0.850000	-69.471105	0.000007	-0.000028
0.875000	-69.716111	0.000006	-0.000024
0.900000	-69.893448	0.000006	-0.000021
0.925000	-70.021682	0.000006	-0.000019
0.950000	-70.114392	0.000006	-0.000018
0.975000	-70.181327	0.000006	-0.000017
1.000000	-70.224826	0.000006	-0.000017
1.025000	-70.261237	0.000005	-0.000017
1.050000	-70.287573	0.000005	-0.000016
1.075000	-69.910931	0.000005	-0.000016
1.100000	-69.996726	0.000006	-0.000019
1.125000	-69.701694	0.000006	-0.000018
1.150000	-69.453368	0.000006	-0.000021
1.175000	-69.272068	0.000006	-0.000024
1.200000	-69.542796	0.000006	-0.000026
1.225000	-68.989718	0.000006	-0.000023
1.250000	-69.306711	0.000006	-0.000030
1.275000	-69.592756	0.000006	-0.000026
1.300000	-69.805534	0.000006	-0.000023
1.325000	-69.566005	0.000006	-0.000020
1.350000	-69.748027	0.000006	-0.000023
1.375000	-69.917822	0.000006	-0.000021
1.400000	-70.040445	0.000006	-0.000019
1.425000	-70.126655	0.000006	-0.000018
1.450000	-70.191486	0.000006	-0.000017
1.475000	-70.238398	0.000006	-0.000017
1.500000	-70.266472	0.000005	-0.000016
1.525000	-70.292673	0.000005	-0.000016
1.550000	-70.304955	0.000005	-0.000016
1.575000	-70.320606	0.000005	-0.000016
1.600000	-69.936235	0.000005	-0.000016
1.625000	-69.630908	0.000006	-0.000019
1.650000	-69.792621	0.000006	-0.000022
1.675000	-69.948793	0.000006	-0.000020
1.700000	-70.062640	0.000006	-0.000019
1.725000	-70.145879	0.000006	-0.000018
1.750000	-70.206108	0.000006	-0.000017
1.775000	-70.249563	0.000005	-0.000017
1.800000	-70.274982	0.000005	-0.000016
1.825000	-70.299477	0.000005	-0.000016
1.850000	-70.317103	0.000005	-0.000016
1.875000	-70.329758	0.000005	-0.000016
1.900000	-70.331734	0.000005	-0.000016
1.925000	-70.340673	0.000005	-0.000016
1.950000	-70.347008	0.000005	-0.000016
1.975000	-69.955663	0.000005	-0.000016
2.000000	-70.030458	0.000005	-0.000019
2.025000	-70.118611	0.000006	-0.000018
2.050000	-70.187059	0.000006	-0.000017
2.075000	-70.236552	0.000005	-0.000017
2.100000	-70.272192	0.000005	-0.000016
2.125000	-70.291598	0.000005	-0.000016
2.150000	-69.919595	0.000005	-0.000016
2.175000	-70.005060	0.000006	-0.000019
2.200000	-70.103404	0.000006	-0.000018
2.225000	-70.176554	0.000006	-0.000017
2.250000	-70.224403	0.000006	-0.000017
2.275000	-70.224663	0.000006	-0.000017
2.300000	-70.224876	0.000006	-0.000017
2.325000	-70.225077	0.000006	-0.000017
2.350000	-70.225271	0.000006	-0.000017
2.375000	-70.225460	0.000006	-0.000017
2.400000	-70.225644	0.000006	-0.000017
2.425000	-70.225824	0.000006	-0.000017
2.450000	-70.226000	0.000006	-0.000016
2.475000	-70.226173	0.000006	-0.000016
2.500000	-70.226343	0.000006	-0.000016
2.525000	-70.226509	0.000006	-0.000016
2.550000	-70.226674	0.000006	-0.000016
2.575000	-70.226836	0.000006	-0.000016
2.600000	-70.226996	0.000006	-0.000016
2.625000	-70.227155	0.000006	-0.000016
2.650000	-70.227311	0.000006	-0.000016
2.675000	-70.227466	0.000006	-0.000016
2.700000	-70.227620	0.000006	-0.000016
2.725000	-70.227773	0.000006	-0.000016
2.750000	-70.227924	0.000006	-0.000016
2.775000	-70.228075	0.000006	-0.000016
2.800000	-70.228224	0.000006	-0.000016
2.825000	-70.228372	0.000006	-0.000016
2.850000	-70.228520	0.000006	-0.000016
2.875000	-70.228667	0.000006	-0.000016
2.900000	-70.228813	0.000006	-0.000016
2.925000	-70.228958	0.000006	-0.000016
2.950000	-70.229103	0.000006	-0.000016
2.975000	-70.229247	0.000006	-0.000016
3.000000	-70.229390	0.000006	-0.000016
3.025000	-70.229533	0.000006	-0.000016
3.050000	-70.229676	0.000006	-0.000016
3.075000	-70.229818	0.000006	-0.000016
3.100000	-70.229959	0.000006	-0.000016
3.125000	-70.230100	0.000006	-0.000016
3.150000	-70.230155	0.000006	-0.000016
3.175000	-70.230160	0.000006	-0.000016
