time	voltage	cai	inat
0.000000	-65.000000	0.000000	-0.153820
0.025000	-1.479561	0.000009	-0.153820
0.050000	-70.477216	0.278025	-0.021351
0.075000	-70.041432	0.139038	-0.026935
0.100000	-67.841037	0.069520	-0.032571
0.125000	-54.466584	0.034762	-0.067177
0.150000	27.908586	0.017415	-1.269438
0.175000	-79.533966	0.043422	-0.001384
0.200000	-74.175739	0.021711	-0.000738
0.225000	-74.410457	0.010856	-0.007129
0.250000	-76.880507	0.005428	-0.006512
0.275000	-80.145664	0.002714	-0.002358
0.300000	-83.575934	0.001357	-0.000563
0.325000	-83.229714	0.000679	-0.000114
0.350000	-83.804977	0.000339	-0.000134
0.375000	-84.530466	0.000170	-0.000102
0.400000	-85.555222	0.000085	-0.000072
0.425000	-84.996155	0.000043	-0.000043
0.450000	-85.639490	0.000021	-0.000057
0.475000	-85.153467	0.000011	-0.000042
0.500000	-85.292176	0.000006	-0.000053
0.525000	-84.868501	0.000003	-0.000049
0.550000	-85.340611	0.000002	-0.000061
0.575000	-84.438288	0.000001	-0.000048
0.600000	-84.994043	0.000001	-0.000075
0.625000	-84.125524	0.000000	-0.000057
0.650000	-84.793559	0.000000	-0.000087
0.675000	-83.968386	0.000000	-0.000063
0.700000	-84.653690	0.000000	-0.000093
0.725000	-83.798197	0.000000	-0.000067
0.750000	-84.500390	0.000000	-0.000102
0.775000	-83.656772	0.000000	-0.000073
0.800000	-84.378667	0.000000	-0.000109
0.825000	-83.567152	0.000000	-0.000077
0.850000	-84.298908	0.000000	-0.000114
0.875000	-83.458368	0.000000	-0.000080
0.900000	-84.198383	0.000000	-0.000120
0.925000	-83.391400	0.000000	-0.000084
0.950000	-84.139255	0.000000	-0.000124
0.975000	-83.327132	0.000000	-0.000086
1.000000	-84.076373	0.000000	-0.000128
1.025000	-83.262397	0.000000	-0.000089
1.050000	-83.988345	0.000000	-0.000132
1.075000	-83.179452	0.000000	-0.000092
1.100000	-83.917093	0.000000	-0.000137
1.125000	-83.113807	0.000000	-0.000096
1.150000	-83.883892	0.000000	-0.000141
1.175000	-83.051329	0.000000	-0.000098
1.200000	-83.819496	0.000000	-0.000145
1.225000	-83.013983	0.000000	-0.000101
1.250000	-83.783690	0.000000	-0.000148
1.275000	-82.944705	0.000000	-0.000103
1.300000	-83.714465	0.000000	-0.000153
1.325000	-83.055761	0.000000	-0.000106
1.350000	-83.747060	0.000000	-0.000145
1.375000	-82.890177	0.000000	-0.000105
1.400000	-83.644629	0.000000	-0.000157
1.425000	-82.966893	0.000000	-0.000110
1.450000	-83.491045	0.000000	-0.000151
1.475000	-82.844488	0.000000	-0.000118
1.500000	-83.558379	0.000000	-0.000161
1.525000	-82.712710	0.000000	-0.000115
1.550000	-83.477813	0.000000	-0.000171
1.575000	-82.800932	0.000000	-0.000119
1.600000	-83.330990	0.000000	-0.000164
1.625000	-82.706307	0.000000	-0.000128
1.650000	-83.421367	0.000000	-0.000172
1.675000	-82.538059	0.000000	-0.000122
1.700000	-83.302462	0.000000	-0.000186
1.725000	-82.627904	0.000000	-0.000129
1.750000	-83.165478	0.000000	-0.000179
1.775000	-82.539232	0.000000	-0.000138
1.800000	-83.258649	0.000000	-0.000186
1.825000	-82.398051	0.000000	-0.000132
1.850000	-83.162136	0.000000	-0.000199
1.875000	-82.449952	0.000000	-0.000138
1.900000	-83.121959	0.000000	-0.000194
1.925000	-82.261679	0.000000	-0.000141
1.950000	-83.035593	0.000000	-0.000212
1.975000	-82.354649	0.000000	-0.000146
2.000000	-82.895210	0.000000	-0.000203
2.025000	-82.260740	0.000000	-0.000157
2.050000	-82.822570	0.000000	-0.000212
2.075000	-82.170496	0.000000	-0.000162
2.100000	-82.739524	0.000000	-0.000221
2.125000	-82.122204	0.000000	-0.000169
2.150000	-82.696733	0.000000	-0.000226
2.175000	-82.073487	0.000000	-0.000173
2.200000	-82.645137	0.000000	-0.000231
2.225000	-82.018020	0.000000	-0.000177
2.250000	-82.589281	0.000000	-0.000236
2.275000	-82.591023	0.000000	-0.000182
2.300000	-82.591750	0.000000	-0.000182
2.325000	-82.591371	0.000000	-0.000182
2.350000	-82.590031	0.000000	-0.000182
2.375000	-82.587883	0.000000	-0.000182
2.400000	-82.585063	0.000000	-0.000182
2.425000	-82.581687	0.000000	-0.000182
2.450000	-82.577856	0.000000	-0.000182
2.475000	-82.573655	0.000000	-0.000182
2.500000	-82.569160	0.000000	-0.000183
2.525000	-82.564432	0.000000	-0.000183
2.550000	-82.559527	0.000000	-0.000183
2.575000	-82.554492	0.000000	-0.000184
2.600000	-82.549365	0.000000	-0.000184
2.625000	-82.544180	0.000000	-0.000184
2.650000	-82.538967	0.000000	-0.000185
2.675000	-82.533750	0.000000	-0.000185
2.700000	-82.528548	0.000000	-0.000186
2.725000	-82.523380	0.000000	-0.000186
2.750000	-82.518260	0.000000	-0.000187
2.775000	-82.513200	0.000000	-0.000187
2.800000	-82.508211	0.000000	-0.000187
2.825000	-82.503299	0.000000	-0.000188
2.850000	-82.498472	0.000000	-0.000188
2.875000	-82.493736	0.000000	-0.000189
2.900000	-82.489094	0.000000	-0.000189
2.925000	-82.484550	0.000000	-0.000190
2.950000	-82.480107	0.000000	-0.000190
2.975000	-82.475765	0.000000	-0.000191
3.000000	-82.471526	0.000000	-0.000191
3.025000	-82.467391	0.000000	-0.000191
3.050000	-82.463360	0.000000	-0.000192
3.075000	-82.459432	0.000000	-0.000192
3.100000	-82.455608	0.000000	-0.000193
3.125000	-82.451886	0.000000	-0.000193
3.150000	-82.443636	0.000000	-0.000193
3.175000	-82.432943	0.000000	-0.000194
3.200000	-82.420487	0.000000	-0.000194
3.225000	-82.406705	0.000000	-0.000195
3.250000	-82.391943	0.000000	-0.000196
3.275000	-82.376491	0.000000	-0.000197
3.300000	-82.360585	0.000000	-0.000198
3.325000	-82.344423	0.000000	-0.000199
3.350000	-82.323584	0.000000	-0.000201
3.375000	-82.300282	0.000000	-0.000202
3.400000	-82.275307	0.000000	-0.000204
3.425000	-82.249183	0.000000	-0.000206
3.450000	-82.222325	0.000000	-0.000208
3.475000	-82.195073	0.000000	-0.000210
3.500000	-82.167704	0.000000	-0.000212
3.525000	-82.140443	0.000000	-0.000215
3.550000	-82.113469	0.000000	-0.000217
3.575000	-82.086925	0.000000	-0.000220
3.600000	-82.060922	0.000000	-0.000222
3.625000	-82.035544	0.000000	-0.000225
3.650000	-82.010855	0.000000	-0.000227
3.675000	-81.986898	0.000000	-0.000230
3.700000	-81.963704	0.000000	-0.000233
3.725000	-81.941289	0.000000	-0.000235
3.750000	-81.919659	0.000000	-0.000238
3.775000	-81.898814	0.000000	-0.000241
3.800000	-81.878748	0.000000	-0.000243
3.825000	-81.859450	0.000000	-0.000246
3.850000	-81.840904	0.000000	-0.000248
3.875000	-81.823091	0.000000	-0.000251
3.900000	-81.805992	0.000000	-0.000253
3.925000	-81.789585	0.000000	-0.000256
3.950000	-81.773845	0.000000	-0.000258
3.975000	-81.758751	0.000000	-0.000260
4.000000	-81.744278	0.000000	-0.000262
4.025000	-81.730402	0.000000	-0.000265
4.050000	-81.717099	0.000000	-0.000267
4.075000	-81.704347	0.000000	-0.000269
4.100000	-81.692122	0.000000	-0.000270
4.125000	-81.680402	0.000000	-0.000272
4.150000	-81.669167	0.000000	-0.000274
4.175000	-81.658395	0.000000	-0.000276
4.200000	-81.648067	0.000000	-0.000277
4.225000	-81.638163	0.000000	-0.000279
4.250000	-81.628666	0.000000	-0.000280
4.275000	-81.619558	0.000000	-0.000282
4.300000	-81.610822	0.000000	-0.000283
4.325000	-81.602443	0.000000	-0.000284
